RNUM,MEDIATITLE,PLACENAME,ADDRESS
8626,스물다섯 스물하나,몽펠리에 카페 레스토랑,전라북도 완주군 소양면 원대흥길 127-21
8627,스물다섯 스물하나,한벽굴,전라북도 전주시 완산구 교동
8628,스물다섯 스물하나,맹꽁이 오락실,전라북도 전주시 완산구 동문길 6
8629,스물다섯 스물하나,오목대길,전라북도 전주시 완산구 오목대길 27-26
8630,스물다섯 스물하나,논산여자상업고등학교,충청남도 논산시 시민로 197
8646,스위트홈,강촌레일파크,강원도 춘천시 남산면 서백길 57
8649,스카이캐슬,분덕스,강원도 춘천시 남산면 충효로 94
8650,스카이캐슬,소노펠리체 빌리지 비발디파크,강원도 홍천군 서면 한치골길 541-123
8695,스토브리그,대가야문화누리,경상북도 고령군 대가야읍 왕릉로 30
8707,스토브리그,공주고등학교 야구장,충청남도 공주시 공주고담길 2
8719,슬기로운 감빵생활,장흥교도소 세트장,전라남도 장흥군 장흥읍 원도리 191
8752,시간,파크 하얏트 부산,부산광역시 해운대구 마린시티1로 51
8764,시그널,심곡항,강원도 강릉시 강동면 심곡리 157-1
8765,시그널,헌화로드라이브코스,강원도 강릉시 강동면 심곡리 헌화로
8766,시그널,빨차카페,강원도 강릉시 옥계면 헌화로 217
8778,시그널,수목원,전라북도 군산시 구영5길 81
8779,시그널,대야역 (장항선),전라북도 군산시 대야면 지경리 699-2
8780,시그널,익산 교도소 세트장,전라북도 익산시 성당면 함낭로 207
8781,시그널,국립법무병원,충청남도 공주시 반포면 봉곡리 반포초교길 253
8793,시지프스: the myth,광안대교,부산광역시 수영구 민락동 광안대교
8794,시지프스: the myth,벡스코,부산광역시 해운대구 APEC로 55
8811,시지프스: the myth,공세리성당,충청남도 아산시 인주면 공세리성당길 10
8815,시카고 타자기,합천 영상 테마파크,경상남도 합천군 용주면 합천호수로 757
8841,시크릿 가든,씨에스호텔앤리조트,제주특별자치도 서귀포시 중문관광로 196
8842,시크릿 가든,롯데호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 35
8843,시크릿 가든,포레스트 리솜,충청북도 제천시 백운면 금봉로 365
8872,시크릿 가든,사려니 숲길,제주특별자치도 제주시 조천읍 교래리 산 137-1
8879,시티홀,운보의 집,충청북도 청주시 청원구 내수읍 형동2길 92-41
9377,식샤를 합시다 3,광안리해수욕장,부산광역시 수영구 광안해변로 219
9378,식샤를 합시다 3,광안대교,부산광역시 수영구 민락동 광안대교
9701,신데렐라와 네 명의 기사,대관령 양떼목장,강원도 평창군 대관령면 대관령마루길 483-32
9709,신데렐라와 네 명의 기사,사우스케이프오너스클럽,경상남도 남해군 창선면 흥선로 1545
9713,신데렐라와 네 명의 기사,각원사,충청남도 천안시 동남구 각원사길 245
9813,신입사관 구해령,영주소수서원,경상북도 영주시 순흥면 소백로 2740
9815,신입사관 구해령,광한루원,전라북도 남원시 요천로 1447
9859,싸이코패스 다이어리,익산 교도소 세트장,전라북도 익산시 성당면 함낭로 207
9861,쌈 마이웨이,부산 한성주택,부산광역시 남구 문현동 산96-9
9862,쌈 마이웨이,호천문화플랫폼,부산광역시 부산진구 엄광로 491
9879,쌍갑포차,고석정,강원도 철원군 동송읍 태봉로 1825
9888,쌍갑포차,경암동 철길마을,전라북도 군산시 경촌4길 14
9889,쌍갑포차,구룡마을 대나무숲,전라북도 익산시 금마면 신용리 560
9890,쌍갑포차,성흥산 사랑나무,충청남도 부여군 임천면 성흥로97번길 167
9920,아는 와이프,낙산 해수욕장,강원도 양양군 강현면 해맞이길 59
9946,아랑사또전,부용대,경상북도 안동시 풍천면 광덕솔밭길 72
9948,아름다운 그대에게,빅토리아펜션,충청남도 태안군 고남면 큰장돌길 283-42
9991,아름다웠던 우리에게,하도리1구 복지회관,충청남도 논산시 노성면 하도1길 110
9992,아름다웠던 우리에게,탑정호수변생태공원,충청남도 논산시 부적면 충곡리 287-8
9993,아름다웠던 우리에게,논산여자상업고등학교,충청남도 논산시 시민로 197
9994,아버님 제가 모실게요,주문리,강원도 강릉시 주문진읍 소돌길 42-23
9995,아버님 제가 모실게요,강릉 소돌항,강원도 강릉시 주문진읍 주문리 791-23
10012,아스달 연대기,반곡지,경상북도 경산시 남산면 반곡리 246
10041,아이리스,표선 등대,제주특별자치도 서귀포시 표선면 민속해안로 532
10042,아이리스,해비치호텔앤드리조트,제주특별자치도 서귀포시 표선면 민속해안로 537
10047,아이언맨,사우스케이프오너스클럽,경상남도 남해군 창선면 흥선로 1545
10100,아이템,유리트리트,강원도 홍천군 서면 한서로 1468-55
10102,아이템,동피랑 벽화마을,경상남도 통영시 동피랑1길 6-18
10103,아이템,계명대학교 성서캠퍼스,대구광역시 달서구 달구벌대로 1095
10120,아홉수 소년,정동진해수욕장,강원도 강릉시 강동면 정동진리 257-2
10121,아홉수 소년,에이엠브레드앤커피,강원도 강릉시 창해로14번길 24
10122,아홉수 소년,동해 논골담길,강원도 동해시 논골1길 2
10123,아홉수 소년,묵호등대전망대,강원도 동해시 해맞이길 289
10124,아홉수 소년,대관령 양떼목장,강원도 평창군 대관령면 대관령마루길 483-32
10126,악마가 너의 이름을 부를 때,춘천대교,강원도 춘천시 근화동 609
10187,악의 마음을 읽는 자들,직탕폭포,강원도 철원군 동송읍 장흥리 336-1
10194,악의 마음을 읽는 자들,익산 교도소 세트장,전라북도 익산시 성당면 함낭로 207
10195,악의 마음을 읽는 자들,의림지,충청북도 제천시 모산동 241
10222,알고있지만,국립 안동대학교,경상북도 안동시 경동로 1375
10240,알고있지만,울산대학교,울산광역시 남구 대학로 93
10242,알고있지만,3917마중,전라남도 나주시 향교길 42-16
10243,알고있지만,홀통캠핑장,전라남도 무안군 현경면 홀통길 183
10244,알고있지만,여유도예공방,전라남도 여수시 만성리길 53
10245,알고있지만,여수 전통시장,전라남도 여수시 서교동 중앙로3
10246,알고있지만,만성리 해수욕장,전라남도 여수시 서교연등천길 43
10261,알함브라 궁전의 추억,씨마크 호텔,강원도 강릉시 해안로406번길 2
10264,알함브라 궁전의 추억,침례병원,부산광역시 금정구 금단로 200
10275,알함브라 궁전의 추억,사천동성당,충청북도 청주시 청원구 주성로 147
10311,앨리스,합천 영상 테마파크,경상남도 합천군 용주면 합천호수로 757
10322,앨리스,하우스 전주 노송동,전라북도 전주시 완산구 인봉1길 37-17
10328,어게인 마이 라이프,합천 영상 테마파크,경상남도 합천군 용주면 합천호수로 757
10338,어게인 마이 라이프,베어트리파크,세종특별자치시 전동면 신송로 217
10339,어게인 마이 라이프,호서대학교 아산캠퍼스,충청남도 아산시 배방읍 호서로79번길 20
10345,어느 날 우리 집 현관으로 멸망이 들어왔다,경주월드,경상북도 경주시 보문로 544
10346,어느 날 우리 집 현관으로 멸망이 들어왔다,충장로,광주광역시 동구 충장로3가
10367,어느 날 우리 집 현관으로 멸망이 들어왔다,외돌개,제주특별자치도 서귀포시 서홍동 791
10368,어느 날 우리 집 현관으로 멸망이 들어왔다,바보라면,제주특별자치도 제주시 구좌읍 해맞이해안로 1016 바보라면
10369,어느 날 우리 집 현관으로 멸망이 들어왔다,한담해안산책로,제주특별자치도 제주시 애월읍 곽지리 1359
10370,어느 날 우리 집 현관으로 멸망이 들어왔다,말로나스테이,제주특별자치도 제주시 한림읍 귀덕11길 29
10382,어느날,장흥교도소 세트장,전라남도 장흥군 장흥읍 원도리 191
10383,어바웃타임,원주세브란스기독병원,강원도 원주시 일산로 20
10384,어바웃타임,뮤지엄 산,강원도 원주시 지정면 오크밸리2길 260
10385,어바웃타임,춘천대교,강원도 춘천시 근화동 609
10459,언더커버,이월드,대구광역시 달서구 두류공원로 200
10595,여름 향기,명봉역,전라남도 보성군 노동면 예재로 384
10599,여름향기,대한다원보성녹차밭,전라남도 보성군 보성읍 녹차로 763-43
10600,여신강림,KT&G 상상마당 춘천 아트센터,강원도 춘천시 스포츠타운길399번길 25
10611,여신강림,설리스카이워크,경상남도 남해군 미조면 송정리 산352-4
10612,여신강림,쿤스트라운지,경상남도 남해군 삼동면 독일로 34
10613,여신강림,대전대학교,대전광역시 동구 대학로 62
10649,여신강림,느랭이골 글램핑캠핑장,전라남도 광양시 다압면 토끼재길 119-32
10662,여인의 향기,롯데호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 35
10663,여인의 향기,신창풍차해안 등대,제주특별자치도 제주시 한경면 신창리 1481-14
10700,역도요정 김복주,헌화로드라이브코스,강원도 강릉시 강동면 심곡리 헌화로
10704,역도요정 김복주,이월드,대구광역시 달서구 두류공원로 200
10727,역도요정 김복주,옥순봉,충청북도 제천시 수산면 옥순봉로 342
10753,연애의 발견,남이섬,강원도 춘천시 남산면 남이섬길 1
10759,연애의 발견,연화도 출렁다리,경상남도 통영시 욕지면 연화리 산2
10786,열두밤,정동진역,강원도 강릉시 강동면 정동역길 17
10818,열여덟의 순간,휘닉스 평창 스노우 파크,강원도 평창군 봉평면 태기로 174
10843,열혈사제,부산 차이나타운,부산광역시 동구 중앙대로179번길 1
10844,열혈사제,대영로243번길,부산광역시 동구 중앙대로195번길 14
10863,열혈사제,소록도성당,전라남도 고흥군 도양읍 소록선창길 55
10864,열혈사제,돌산대교,전라남도 여수시 돌산읍 우두리 816
10865,열혈사제,여수갯벌노을마을,전라남도 여수시 소라면 서부로 785-24 장척마을회관
10869,영광의 재인,공세리성당,충청남도 아산시 인주면 공세리성당길 10
10906,오 나의 귀신님,버디카라반캠핑장,충청남도 태안군 남면 진산1길 277-200
10907,오 나의 귀신님,통나무집마을펜션,충청남도 태안군 남면 진산리 613
10910,오 마이 금비,익산 교도소 세트장,전라북도 익산시 성당면 함낭로 207
10911,오 마이 레이디,월정사,강원도 평창군 진부면 오대산로 374-8
10930,오! 주인님,김유정역 폐역,강원도 춘천시 신동면 김유정로 1435
10931,오! 주인님,월정사,강원도 평창군 진부면 오대산로 374-8
10973,오렌지 마말레이드,휘닉스제주 섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107
