RNUM,MEDIATITLE,PLACENAME,ADDRESS
754,"가족끼리 왜 이래",롯데캐슬아이비,"서울특별시 영등포구 국제금융로 86"
755,"가족끼리 왜 이래","삼순이 계단","서울특별시 중구 남산공원길 649"
756,가화만사성,낙산사,"강원도 양양군 강현면 낙산사로 100"
757,가화만사성,일산호수공원,"경기도 고양시 일산동구 호수로 731"
758,가화만사성,아다마스253,"경기도 파주시 탄현면 헤이리마을길 47"
759,가화만사성,"커피 스미스 홍대점","서울특별시 마포구 와우산로 82"
760,가화만사성,"가톨릭관동대학교 국제성모병원","인천광역시 서구 심곡로100번길 25"
761,가화만사성,"인천 신포동 개인주택","인천광역시 중구 송학로 3"
762,각시탈,"운현궁 양관","서울특별시 종로구 삼일대로 460"
763,"간 떨어지는 동거",크랙킨,"경기도 고양시 일산동구 무궁화로141번길 8-8"
764,"간 떨어지는 동거",pino,"경기도 고양시 일산동구 애니골길 72"
765,"간 떨어지는 동거",웨스턴돔,"경기도 고양시 일산동구 정발산로42번길 24"
766,"간 떨어지는 동거",광명동굴,"경기도 광명시 가학로85번길 142"
767,"간 떨어지는 동거","더드림핑 글램핑","경기도 남양주시 화도읍 북한강로 1630-18"
768,"간 떨어지는 동거",수원화성박물관,"경기도 수원시 팔달구 창룡대로 21"
769,"간 떨어지는 동거",떼레노시떼,"경기도 용인시 기흥구 기흥단지로 81-2"
770,"간 떨어지는 동거",운정블라썸꽃집,"경기도 파주시 가람로21번길 46 1층"
771,"간 떨어지는 동거",메이크샵,"경기도 파주시 광인사길 209"
772,"간 떨어지는 동거",승잠원,"경기도 파주시 법원읍 초리골길 77"
773,"간 떨어지는 동거","앤드테라스 파주점","경기도 파주시 오도로 91"
774,"간 떨어지는 동거",컴프에비뉴,"경기도 파주시 탄현면 얼음실로 197"
775,"간 떨어지는 동거",파머스테이블,"경기도 파주시 탄현면 헤이리마을길 59-77"
776,"간 떨어지는 동거","헤이리 예술마을","경기도 파주시 탄현면 헤이리마을길 70-21"
777,"간 떨어지는 동거","아지동 테마파크","경기도 파주시 탄현면 헤이리마을길 70-21 헤이리예술마을"
778,"간 떨어지는 동거",퍼스트가든,"경기도 파주시 탑삭골길 260"
779,"간 떨어지는 동거","카페 종이와 나무","경기도 파주시 회동길 445-1"
780,"간 떨어지는 동거","문경새재촬영장 (오픈세트장)","경상북도 문경시 문경읍 새재로 1037"
781,"간 떨어지는 동거",영동대로,"서울특별시 강남구 삼성동"
782,"간 떨어지는 동거","호텔 인나인","서울특별시 강남구 영동대로 618"
783,"간 떨어지는 동거","북스리브로 구로점","서울특별시 구로구 구로중앙로 152"
784,"간 떨어지는 동거",서울과학기술대학교,"서울특별시 노원구 공릉로 232"
785,"간 떨어지는 동거","오리지널시카고피자 홍대본점","서울특별시 마포구 독막로7길 51 3층"
786,"간 떨어지는 동거",가온문화공원,"서울특별시 마포구 상암동 1594"
787,"간 떨어지는 동거",성미산로23길,"서울특별시 마포구 성미산로23길"
788,"간 떨어지는 동거",어울마당로,"서울특별시 마포구 어울마당로"
789,"간 떨어지는 동거",콜린,"서울특별시 마포구 어울마당로 45"
790,"간 떨어지는 동거",목포낙지마을,"서울특별시 마포구 월드컵로32길 11"
791,"간 떨어지는 동거",구룡근린공원,"서울특별시 마포구 월드컵북로 456"
792,"간 떨어지는 동거",월드컵북로54길,"서울특별시 마포구 월드컵북로54길 25 상암DMC 푸르지오시티"
793,"간 떨어지는 동거",괴르츠,"서울특별시 마포구 토정로 136-13, 7F"
794,"간 떨어지는 동거",무대륙,"서울특별시 마포구 토정로5길 12"
795,"간 떨어지는 동거","카페 할아버지공장","서울특별시 성동구 성수이로7가길 9"
796,"간 떨어지는 동거",올드문래,"서울특별시 영등포구 도림로 433-6"
797,"간 떨어지는 동거",서강대교,"서울특별시 영등포구 여의도동 서강대교"
798,"간 떨어지는 동거",원효대교,"서울특별시 영등포구 여의도동 원효대교"
799,"간 떨어지는 동거",이목구비,"서울특별시 영등포구 영신로32길 19"
800,"간 떨어지는 동거",아이파크몰,"서울특별시 용산구 한강대로23길 55"
801,"간 떨어지는 동거","카페포엠 북촌점","서울특별시 종로구 북촌로5길 19-4"
802,"간 떨어지는 동거","가배도 삼청점","서울특별시 종로구 북촌로5길 56-8 101호"
803,"간 떨어지는 동거","서울 평창동 맨션 438-14","서울특별시 종로구 평창길 323"
804,"간 떨어지는 동거",인천국제공항,"인천광역시 중구 공항로 272"
805,"간 떨어지는 동거","메타세쿼이아 가로수길","전라남도 담양군 담양읍 학동리 633"
806,"간 떨어지는 동거",광한루원,"전라북도 남원시 요천로 1447"
807,"간 떨어지는 동거",은행로,"전라북도 전주시 완산구 은행로 75-2"
808,"간 떨어지는 동거",태조로,"전라북도 전주시 완산구 태조로 37"
809,"간 떨어지는 동거",향교길,"전라북도 전주시 완산구 향교길 105"
810,"간 떨어지는 동거",선샤인스튜디오,"충청남도 논산시 연무읍 봉황로 90"
811,"간택 - 여인들의 전쟁",광한루원,"전라북도 남원시 요천로 1447"
812,갑동이,에버랜드,"경기도 용인시 처인구 포곡읍 에버랜드로 199"
843,"개와 늑대의 시간",기흥주택단지,"경기도 용인시 기흥구 고매동 261-7"
844,"개와 늑대의 시간",국립중앙박물관,"서울특별시 용산구 서빙고로 137"
845,"개와 늑대의 시간","CGV 용산아이파크몰","서울특별시 용산구 한강대로23길 55 현대아이파크몰 6층"
846,"개와 늑대의 시간","국립현대미술관 서울","서울특별시 종로구 삼청로 30"
847,"개와 늑대의 시간",아트선재센터,"서울특별시 종로구 율곡로3길 87"
848,"개와 늑대의 시간",토탈미술관,"서울특별시 종로구 평창32길 8"
849,"개와 늑대의 시간","롯데호텔 서울","서울특별시 중구 을지로 30"
850,"개와 늑대의 시간",인천항만공사,"인천광역시 연수구 센트럴로 263"
851,"개와 늑대의 시간","스플라스 리솜","충청남도 예산군 덕산면 온천단지3로 45-7"
852,"개인의 취향",일산문화광장,"경기도 고양시 일산동구 중앙로 1271-4"
853,"개인의 취향",일산호수공원,"경기도 고양시 일산동구 호수로 731"
854,"개인의 취향","푸르지오 써밋","서울특별시 강남구 영동대로 337"
855,"개인의 취향",코엑스,"서울특별시 강남구 영동대로 513"
856,"개인의 취향",토정로,"서울특별시 마포구 토정로 20"
857,"개인의 취향","응봉산 팔각정","서울특별시 성동구 독서당로60길 13-1"
858,"개인의 취향",주한앙골라대사관저,"서울특별시 성북구 선잠로2길 211"
859,"개인의 취향",마포대교,"서울특별시 영등포구 여의도동 84-5"
860,"개인의 취향",여랑재,"서울특별시 종로구 북촌로11가길 43"
861,"개인의 취향","덕수궁 돌담길","서울특별시 중구 세종대로 99"
862,"개인주의자 지영씨",성미산로26길,"서울특별시 마포구 성미산로26길 35"
863,"개인주의자 지영씨",도림로,"서울특별시 영등포구 도림로 436-11"
864,"갯마을 차차차",양주시립장욱진미술관,"경기도 양주시 장흥면 권율로 193"
865,"갯마을 차차차",서원밸리CC,"경기도 파주시 광탄면 서원길 333"
866,"갯마을 차차차",석병1리방파제,"경상북도 포항시 남구 구룡포읍 석병리 745-2"
867,"갯마을 차차차",청하5일장,"경상북도 포항시 북구 청하면 청하로200번길 6"
868,"갯마을 차차차",사방기념공원,"경상북도 포항시 북구 흥해읍 해안로 1801"
869,"갯마을 차차차","더리버 벨라쿠치나","서울특별시 서초구 반포동 1338"
870,"갯마을 차차차",동호대교,"서울특별시 성동구 옥수동"
871,"갯마을 차차차",더리버,"서울특별시 용산구 용산동6가 451"
872,"갯마을 차차차",서울드래곤시티,"서울특별시 용산구 청파로20길 95"
873,"거짓말의 거짓말",더달다,"서울특별시 강북구 4.19로21길 18"
874,"거침없이 하이킥",해비치호텔앤드리조트,"제주특별자치도 서귀포시 표선면 민속해안로 537"
875,"건빵선생과 별사탕",압구정로,"서울특별시 강남구 압구정로 436"
904,검법남녀,도래울초등학교,"경기도 고양시 덕양구 도래울3로 5"
905,검법남녀,"소노캄 고양","경기도 고양시 일산동구 태극로 20"
906,검법남녀,대림아크로텔,"경기도 성남시 분당구 성남대로 295"
907,검법남녀,"Gramps Ground","경기도 성남시 분당구 정자일로 132"
908,검법남녀,정자역엠코헤리츠,"경기도 성남시 분당구 정자일로 136"
909,검법남녀,대웅경영개발원,"경기도 용인시 처인구 포곡읍 두계로 72"
910,검법남녀,누리슈퍼,"경기도 파주시 조리읍 삼릉로 10"
911,검법남녀,화이트블럭,"경기도 파주시 탄현면 헤이리마을길 72"
912,검법남녀,김포국제공항,"서울특별시 강서구 하늘길 112"
