mediatitle,place_name,address,positive_ratio,latitude,longitude
궁,씨에스호텔앤리조트,제주특별자치도 서귀포시 중문관광로 196,0.6470588235294118,33.243147,126.42002
또! 오해영,신성리 갈대밭,충청남도 서천군 한산면 신성리 125-1,0.6875,36.068336,126.86074
궁,경기전,전라북도 전주시 완산구 태조로 44,0.9444444444444444,35.815488,127.149771
발칙하게 고고,단콩,세종특별자치시 조치원읍 섭골길 35-4 단콩,0.9,36.613906,127.28924
발칙하게 고고,세종호수공원,세종특별자치시 호수공원길 155,0.75,36.497909,127.2729
발칙하게 고고,녹수원글램핑,충청남도 공주시 유구읍 금계산로 919-11,0.6666666666666666,36.62859,126.96982
또! 오해영,낙산 해수욕장,강원도 양양군 강현면 해맞이길 59,1.0,38.1164806,128.63426
밥 잘 사주는 예쁜 누나,협재해수욕장,제주특별자치도 제주시 한림읍 한림로 329-10,0.9166666666666666,33.394065,126.239527
달의 연인 - 보보경심 려,아홉산숲,부산광역시 기장군 철마면 웅천리 520-10,0.4666666666666667,35.2879959,129.169638
간택 - 여인들의 전쟁,광한루원,전라북도 남원시 요천로 1447,1.0,35.403918,127.379758
미스터 션샤인,부안영상테마파크,전라북도 부안군 반석면 격포로 309-64,0.6,35.620633,126.48247
나를 사랑한 스파이,제주국제공항,제주특별자치도 제주시 공항로 2,0.8125,33.506548,126.49304
따뜻한 말 한마디,장사도 해상공원 까멜리아,경상남도 통영시 한산면 장사도길 55,0.8,34.713673,128.55885
병원선,대우병원,경상남도 거제시 두모길 16,0.4375,34.871977,128.72219
겨울연가,외도 보타니아,경상남도 거제시 일운면 외도길 17,0.5,34.769699,128.70886
복수가 돌아왔다,중앙탑 사적공원,충청북도 충주시 중앙탑면 중앙탑길 112-28 일원,0.9230769230769232,37.016768,127.8665
부부의 세계,강릉역,강원도 강릉시 용지로 176,0.8,37.764117,128.89882
부부의 세계,하조대 해수욕장,강원도 양양군 현북면 하광정리,0.8666666666666667,38.024387,128.724074
부암동 복수자들,유리트리트,강원도 홍천군 서면 한서로 1468-55,0.9444444444444444,37.636579,127.63422
뷰티 인사이드,산토리니,강원도 춘천시 동면 순환대로 1154-97,0.6666666666666666,37.8913993,127.7742846
궁,동궁과 월지,경상북도 경주시 원화로 102,0.9333333333333332,35.83429,129.226584
뷰티 인사이드,아난티 코브,부산광역시 기장군 기장읍 기장해안로 268-31,0.7692307692307693,35.200166,129.229042
내게 거짓말을 해봐,베어트리파크,세종특별자치시 전동면 신송로 217,0.25,36.670592,127.209267
빅마우스,순천만 국가정원,전라남도 순천시 국가정원1호길 47,0.6666666666666666,34.929045,127.498897
군검사 도베르만,익산 교도소 세트장,전라북도 익산시 성당면 함낭로 207,0.8333333333333334,36.069334,126.93158
빈센조,대구오페라하우스,대구광역시 북구 호암로 15,1.0,35.88348,128.59216
구경이,동피랑 벽화마을,경상남도 통영시 동피랑1길 6-18,0.7692307692307693,34.845641,128.427523
사내맞선,스카이베이호텔 경포,강원도 강릉시 해안로 476,0.6666666666666666,37.804363,128.90769
달리와 감자탕,오크밸리 리조트,강원도 원주시 지정면 오크밸리1길 66,0.7222222222222222,37.434485,127.817496
사내맞선,듀레베이커리 호암점,충청북도 충주시 중원대로 3250,0.8823529411764706,36.958536,127.92437
사랑비,쎄라비음악다방,대구광역시 중구 국채보상로102길 60,1.0,35.86789,128.5844
사랑비,순천드라마촬영장,전라남도 순천시 비례골길 24,0.8888888888888888,34.957729,127.53832
사랑의 불시착,별마로천문대,강원도 영월군 영월읍 천문대길 397,0.9285714285714286,37.198816,128.486792
사랑의 불시착,코모도호텔 부산,부산광역시 중구 중구로 151,0.8666666666666667,35.109159,129.035447
사랑의 불시착,청산수목원,충청남도 태안군 연꽃길 70,0.5294117647058824,36.68861,126.2968
사랑의 불시착,비내섬,충청북도 충주시 소태면 복탄리 908,0.7333333333333333,37.105907,127.815528
복수가 돌아왔다,중앙탑 사적공원,충청북도 충주시 중앙탑면 중앙탑길 112-28 일원,0.9230769230769232,37.016768,127.8665
사랑의 불시착,탄금호 무지개길,충청북도 충주시 중앙탑면 중앙탑길 150,1.0,37.022702,127.863486
사랑의 온도,순천만습지,전라남도 순천시 순천만길 513-25,0.8125,34.88597,127.50903
사랑의 온도,향일암,전라남도 여수시 돌산읍 향일암로 60,0.7647058823529411,34.591599,127.80385
군검사 도베르만,익산 교도소 세트장,전라북도 익산시 성당면 함낭로 207,0.8333333333333334,36.069334,126.93158
남자친구,심곡항,강원도 강릉시 강동면 심곡리 157-1,0.6,37.665245,129.053082
꽃보다 남자,설악해변,강원도 양양군 강현면 뒷나루2길 5-8,0.8571428571428571,38.131216,128.62292
