drama,review
라디오 로맨스,"대놓고 오글거리는 장면들이 있지만 그 오글거림이 재밌는, 기분 좋은 드라마!"
라디오 로맨스,비주얼이 개연성
라디오 로맨스,이런 구시대적인 스토리라니!
라이브,하 진짜 살아있네! 간만에 물건 만난 느낌!
라이브,그들의 제복이 다시 보인다.
라이브,회가 거듭될수록 사람냄새는 진해지며 제목  참 잘지었구나 싶다😀
라이프 온 마스,당신이 행복한 그 곳이 현실입니다.
라이프 온 마스,가끔 드라마나 영화 속 주인공들이 오래 오래 웃으며 행복하길 바라게 될 때가 있다. 이 드라마가 그랬다.
라켓소년단,오글거리는데도 너무 좋다. 향기로웠던 민턴의 추억과 함께.
라켓소년단,충격적이다........ 재밌어서...
라켓소년단,귀엽고 무해해
라켓소년단,무해하고 넘 재밌고 디테일도 넘 좋고 넘 귀엽다 흑흑
라켓소년단,찌든 일상의 정화
란제리 소녀시대,사랑스럽다.
란제리 소녀시대,억수로 공감되네
란제리 소녀시대,여성들의 용감함이 좋다
란제리 소녀시대,재밌네
런온,참 깨발랄해서 좋다.
런온,"첫느낌, 맘에 든다. 대사에 말맛이 느껴져서 좋다. 캐릭들도 똘끼가 느껴지는 게 좋아좋아."
런온,A-가 되고싶은 B+느낌..?
런온,대사 하나하나 봤을 땐 재밌는데
런온,BGM이 너무 좋다
레버리지:사기조작단,쫄깃하면서도 코믹함으로 양념을 더했다
레버리지:사기조작단,어..? 생각보다 괜찮은데...?
레버리지:사기조작단,기대보단 괜찮은데?
레버리지:사기조작단,유치하고 뻔한데 그럭저럭 볼만함
로망스,미쳤네 이거
로망스,안 좋게 특이하다.
로맨스는 별책부록,'책'과 함께 '일하는 사람들'의 '다정다감함'.
로봇이 아니야,생각보다 재밌다! 귀여워
루갈,하지만 웃었죠?
마녀식당으로 오세요,후루룩 가볍게 보기 좋다.
마녀식당으로 오세요,기대보다 재밌다 나름 탄탄한 줄거리
마녀식당으로 오세요,"쉽고 재밌다. 교훈적인 메시지를 뻔하지 않고, 따뜻하게 전달하는 스토리텔링이 인상적이었다."
마녀식당으로 오세요,모두 나와 닮아있는 식당의 손님들.
마녀식당으로 오세요,너무 재밌어요. 감질맛 나네요. ㅜㅜ
마우스,뻔할 뻔했는데 다행스러운 결론
마우스,내가 좋아하는소재 재밌게 봤다.
마이 걸,1편과는 다른 따뜻함
마이 네임,뭔가 계속 예상가능한 전개와 그 끝이 보이는..
마이 네임,책 읽는 듯한 대사 특유의 초현실적 서정
마이 네임,"뻔하지만, 액션은 성공."
마이 시크릿 호텔,재밌을 줄...
마이 시크릿 호텔,서로 자기들 로맨스에 푹 절어버렸다
마이 프린세스,.
마인,You can choose.
맨도롱 또똣,....^^
맨도롱 또똣,보면서 행복했다
맨투맨,웃기다 잼있다 ㅋㅋ 은근 시간잘가고 괜찮은거같다
맨투맨,박해진 얼굴이 재밌다
맨투맨,이거 코미디 맞죠?
맨투맨,재밌는소재. 프로페셔녈 멋졌다
맨홀-이상한 나라의 필,내겐 재미는 있었던 드라마
멈추고 싶은 순간: 어바웃 타임,나름 괜찮은 스토리가 맘에 들었다.
멈추고 싶은 순간: 어바웃 타임,신선한건 소재뿐이란 느낌
멜랑꼴리아,으으
모단걸,짧아서 아쉬운데 짧아서 다행이다 싶기도 함
모래시계,이때는 나쁘지 않았지 ㅋ
모래시계,가슴 뭉클
모래시계,미쳤다
모래시계,깊다.
모범형사,"유쾌한 수미상관, 대단하진 않아도 안정적인 연기, 적절하게 섞인 유머와 스릴러의 조화,"
몬스터,좋은영화!
몬스터,꿀잼
몬스터,좋았던 기억.
